rule_id	disease	age_months	weight_kg	claim_type	parameter	min	max	unit	metadata (source, section, page)
malaria_001	malaria	-	-	dose	klorokuin sulfat	25	25	mg/kgbb_total_dose	Buku PPM IDAI Jilid I, Tata Laksana, 180
malaria_002	malaria	-	-	dose	klorokuin sulfat	10	10	mg/kgbb/dose	Buku PPM IDAI Jilid I, Tata Laksana, 180
malaria_003	malaria	-	-	dose	klorokuin sulfat	5	5	mg/kgbb/dose	Buku PPM IDAI Jilid I, Tata Laksana, 180
malaria_004	malaria	-	-	frequency	klorokuin sulfat	1	1	times/day	Buku PPM IDAI Jilid I, Tata Laksana, 181
malaria_005	malaria	-	-	duration	klorokuin sulfat	3	3	days	Buku PPM IDAI Jilid I, Tata Laksana, 180
malaria_006	malaria	-	-	dose	kina dihidroklorid	1	1	mg_garam/kgbb/dose	Buku PPM IDAI Jilid I, Tata Laksana, 180
malaria_007	malaria	-	-	frequency	kina dihidroklorid	3	3	times/day	Buku PPM IDAI Jilid I, Tata Laksana, 180
malaria_008	malaria	-	-	duration	kina dihidroklorid	7	7	days	Buku PPM IDAI Jilid I, Tata Laksana, 181
malaria_009	malaria	-	-	dose	kuinin sulfat	10	10	mg/kgbb/dose	Buku PPM IDAI Jilid I, Tata Laksana, 181
malaria_010	malaria	-	-	frequency	kuinin sulfat	3	3	times/day	Buku PPM IDAI Jilid I, Tata Laksana, 181
malaria_011	malaria	-	-	duration	kuinin sulfat	7	7	days	Buku PPM IDAI Jilid I, Tata Laksana, 181
malaria_012	malaria	-	-	dose	tetrasiklin	5	5	mg/kgbb/dose	Buku PPM IDAI Jilid I, Tata Laksana, 181
malaria_013	malaria	-	-	frequency	tetrasiklin	4	4	times/day	Buku PPM IDAI Jilid I, Tata Laksana, 181
malaria_014	malaria	-	-	duration	tetrasiklin	7	7	days	Buku PPM IDAI Jilid I, Tata Laksana, 181
malaria_015	malaria falciparum	-	-	dose	primakuin fosfat	0,5	0,75	mg_basa/kgbb	Buku PPM IDAI Jilid I, Tata Laksana, 181
malaria_016	malaria falciparum	-	-	frequency	primakuin fosfat	1	1	times/day	Buku PPM IDAI Jilid I, Tata Laksana, 181
malaria_017	malaria falciparum	-	-	duration	primakuin fosfat	1	1	days	Buku PPM IDAI Jilid I, Tata Laksana, 181
malaria_018	malaria vivax	-	-	dose	primakuin fosfat	0,25	0,25	 mg/kgbb	Buku PPM IDAI Jilid I, Tata Laksana, 181
malaria_019	malaria vivax	-	-	frequency	primakuin fosfat	1	1	times/day	Buku PPM IDAI Jilid I, Tata Laksana, 181
malaria_020	malaria vivax	-	-	duration	primakuin fosfat	5	14	days	Buku PPM IDAI Jilid I, Tata Laksana, 181
malaria_021	malaria malariae	-	-	dose	primakuin fosfat	0,25	0,25	 mg/kgbb	Buku PPM IDAI Jilid I, Tata Laksana, 181
malaria_022	malaria malariae	-	-	frequency	primakuin fosfat	1	1	times/day	Buku PPM IDAI Jilid I, Tata Laksana, 181
malaria_023	malaria malariae	-	-	duration	primakuin fosfat	5	14	days	Buku PPM IDAI Jilid I, Tata Laksana, 181
malaria_024	malaria ovale	-	-	dose	primakuin fosfat	0,25	0,25	 mg/kgbb	Buku PPM IDAI Jilid I, Tata Laksana, 181
malaria_025	malaria ovale	-	-	frequency	primakuin fosfat	1	1	times/day	Buku PPM IDAI Jilid I, Tata Laksana, 181
malaria_026	malaria ovale	-	-	duration	primakuin fosfat	5	14	days	Buku PPM IDAI Jilid I, Tata Laksana, 181
malaria_027	malaria	< 12	-	dose	pirimetamin sulfadoksin	0,25	0,25	tablet	Buku PPM IDAI Jilid I, Tata Laksana, 182
malaria_028	malaria	12 - 36	-	dose	pirimetamin sulfadoksin	0,5	0,5	tablet	Buku PPM IDAI Jilid I, Tata Laksana, 182
malaria_029	malaria	48 - 96	-	dose	pirimetamin sulfadoksin	1	1	tablet	Buku PPM IDAI Jilid I, Tata Laksana, 182
malaria_030	malaria	108 - 168	-	dose	pirimetamin sulfadoksin	2	2	tablet	Buku PPM IDAI Jilid I, Tata Laksana, 182
malaria_031	malaria	> 168	-	dose	pirimetamin sulfadoksin	3	3	tablet	Buku PPM IDAI Jilid I, Tata Laksana, 182
